ticker,name,corp_list
1001,코스피,"005930,000660,373220,207940,005380,000270,068270,105560,005490,035420,055550,028260,006400,051910,012330,032830,086790,066570,035720,003670,000810,138040,012450,329180,259960,009540,042700,011200,267260,003550,015760,034020,033780,009150,017670,018260,024110,316140,402340,090430,034730,096770,010130,323410,010140,030200,042660,047050,000100,003490,010950,005830,352820,010120,326030,267250,011070,034220,443060,097950,450080,161390,051900,251270,064350,088980,011790,047810,003230,079550,454910,028050,021240,180640,022100,006800,086280,029780,241560,302440,307950,032640,005070,005940,009830,011170,078930,128940,272210,066970,010620,011780,036570,016360,006260,071050,462870,036460,001570,001040,000720,377300,004020,271560,039490,298040,035250,002380,001450,000150,138930,175330,004370,007660,052690,361610,088350,004990,002790,001440,383220,000880,018880,081660,112610,278470,007070,000990,012750,000120,008930,204320,026960,028670,014680,008770,009420,012510,030000,103140,111770,192820,280360,282330,023530,020150,047040,051600,005850,007310,017800,018670,042670,139480,161890,185750,298050,069620,073240,004170,006360,009240,010060,011210,000080,000240,006280,336260,005300,103590,108320,139130,267270,294870,298020,082640,082740,006040,009410,014820,395400,003090,003620,003690,004000,004490,004800,375500,336370,002840,457190,120110,137310,145720,192080,034230,069960,089860,009970,365550,000210,001120,001720,001740,002710,353200,456040,005180,100090,105630,178920,192400,214320,229640,248070,281820,285130,300720,023590,032350,039130,049770,069260,079160,085620,089590,005420,006110,007340,008730,009450,330590,348950,000400,001680,001800,003030,003530,003540,090460,344820,005250,403550,091810,093370,114090,161000,170900,181710,192650,195870,268280,271940,272450,020560,025540,030190,030610,057050,064960,071320,071970,005440,005880,006120,006380,006650,007700,009900,010780,014830,016380,016800,017960,019170,293940,000070,000370,000640,000670,001060,001430,001530,002350,003240,003470,003570,003850,003960,381970,088260,357120,432320,448730,451800,001200,001340,001470,001820,002030,002240,002310,002960,003000,003160,003220,003280,003300,003520,003920,004690,004700,005090,005390,005610,005810,006220,007460,007690,009290,009470,010690,011930,012630,017810,017860,017940,018250,020000,025860,026890,027410,029530,031430,033240,033270,034310,036530,058650,060980,072710,075580,077970,084690,093050,093230,097520,104700,108670,115390,123890,126560,130660,145990,183190,200880,241590,249420,284740,286940,306200,377740,383800,453340,460860,475150,372910,450140,452260,460850,462520,071840,074610,077500,078520,079430,079980,081000,083420,084010,084680,089470,090350,092200,092220,092230,092790,094280,095570,095720,096760,097230,100250,100840,101530,102260,102460,105840,107590,109070,111380,117580,120030,122900,123690,126720,128820,134380,136490,138490,139990,163560,194370,210540,210980,213500,214330,214390,214420,226320,234080,248170,264900,267290,267850,271980,272550,282690,293480,298000,298690,317400,322000,339770,363280,012320,012600,012610,012690,012800,013570,013580,013890,014160,014280,014530,014580,014710,015230,015360,015590,015860,015890,016450,016580,016590,016610,016710,017370,017390,017550,017900,018470,019440,019680,020120,023000,023450,024090,024720,024900,025000,025820,027970,028100,029460,030210,031440,033180,033530,033920,034120,034590,034830,035150,035510,036420,037270,037560,037710,039570,044450,053210,053690,058430,058850,063160,068290,070960,003650,003720,003830,004080,004090,004140,004150,004250,004310,004360,004380,004430,004560,004710,004830,004970,004980,005010,005430,005500,005680,005690,005720,005950,005960,006060,006340,006390,006660,006840,006890,007110,007160,007210,007540,007570,007810,007860,008040,008060,008110,008260,008350,008490,008700,008970,009070,009160,009270,009580,009680,010100,010580,010820,011000,011150,011280,011330,011500,011690,011700,011760,011810,012030,334890,350520,377190,396690,400760,404990,417310,481850,000020,000050,000140,000180,000320,000390,000430,000480,000490,000500,000520,000540,000680,000700,000860,000970,001020,001080,001130,001230,001250,001270,001360,001380,001390,001460,001500,001510,001520,001630,001750,001780,001790,001940,002020,002100,002150,002170,002210,002320,002390,002620,002700,002720,002780,002810,002900,002990,003060,003070,003120,003200,003350,003460,003580,003610,101140,102280,111110,118000,119650,123700,129260,133820,134790,143210,145210,155660,227840,244920,308170,378850,446070,465770,014990,015020,015260,016090,016740,016880,017040,017180,018500,019180,019490,020760,021050,021820,023150,023350,023800,023810,023960,024070,024890,025530,025560,025620,025750,025890,026940,027740,030720,031820,032560,033250,034300,035000,036580,041650,044380,044820,047400,049800,051630,055490,058730,058860,067830,069460,069640,069730,071090,071950,072130,075180,078000,084670,084870,085310,088790,090080,090370,091090,092440,092780,093240,100220,004960,005030,005110,005320,005360,005740,005750,005800,005820,005870,006090,006200,006370,006490,006570,006740,006880,006980,007120,007280,007590,007610,007980,008250,008420,008500,008600,008870,009140,009180,009190,009200,009310,009320,009440,009460,009770,009810,010040,010400,010420,010600,010640,010660,010770,010960,011090,011230,011300,011390,011420,012160,012170,012200,012280,013000,013360,013520,013700,013870,014130,014440,014790,014910,140910,145270,204210,338100,357250,357430,000040,000220,000230,000300,000590,000650,000760,000850,000890,000910,000950,001070,001140,001210,001260,001290,001420,001550,001560,001620,001770,002070,002140,002200,002220,002360,002410,002420,002450,002460,002600,002630,002690,002760,002820,002870,002880,002920,003010,003080,003480,003560,003680,003780,004060,004100,004270,004410,004440,004450,004540,004720,004770,004840,004870,004890,004910,004920"
1002,코스피 대형주,"005930,000660,373220,207940,005380,000270,068270,105560,005490,055550,035420,028260,006400,051910,012330,032830,086790,066570,035720,003670,000810,012450,329180,138040,259960,009540,042700,003550,011200,267260,015760,034020,033780,009150,017670,018260,024110,402340,316140,034730,090430,010130,323410,096770,010140,030200,042660,047050,003490,000100,010950,005830,352820,326030,011070,267250,034220,097950,450080,251270,161390,088980,011790,051900,064350,454910,047810,028050,022100,021240,006800,180640,029780,086280,078930,005070,005940,009830,011170,307950,302440,241560,032640,011780,066970,272210,016360,036570,071050,128940,001570,271560,004020,000720,377300,035250,361610,018880,383220"
1003,코스피 중형주,"010120,079550,003230,010620,006260,001040,036460,039490,298040,001450,002380,000150,004370,175330,052690,138930,007660,001440,002790,004990,088350,081660,000880,007070,000990,008930,012750,000120,112610,030000,009420,028670,008770,012510,014680,204320,026960,192820,282330,005850,111770,051600,007310,023530,280360,020150,017800,103140,047040,042670,018670,139480,006280,006360,069620,161890,004170,073240,298050,010060,009240,000240,185750,011210,000080,298020,395400,139130,003690,294870,082640,005300,003090,375500,082740,004490,336260,267270,004000,014820,006040,004800,003620,108320,137310,001720,001120,336370,089860,353200,009970,000210,457190,069960,145720,365550,120110,001740,192080,002840,002710,001800,300720,079160,248070,085620,009450,001680,178920,229640,005180,000400,003540,330590,281820,285130,005420,039130,007340,023590,006110,089590,105630,049770,214320,192400,090460,456040,069260,003530,003030,348950,001060,002350,006650,008730,020560,032350,100090,114090,271940,001530,268280,005250,010780,003850,001430,000640,009900,006120,003570,003240,181710,093370,344820,195870,005880,030190,064960,016380,014830,019170,025540,005440,403550,170900,017960,003470,381970,000370,000070,000670,007700,057050,272450,293940,091810,030610,018250,161000,192650,031430,383800,003280,284740,002240,145990,241590,005610,033240,200880,460860,034310,286940,020000,097520,003000,001470,034120,210980"
1004,코스피 소형주,"009410,103590,003960,006380,071970,071320,012630,002030,016800,075580,017810,017940,130660,001200,003160,432320,003520,001820,007460,108670,357120,126560,183190,058650,377740,093050,453340,003300,002960,001340,249420,033270,448730,005090,003920,115390,026890,011930,005810,029530,104700,123890,002310,010690,077970,306200,451800,004690,093230,025860,003220,009290,005390,036530,006220,004700,084690,027410,088260,060980,072710,009470,007690,007810,035150,005690,000430,001940,000680,001390,000500,126720,024720,013890,122900,226320,003350,298690,001250,272550,097230,322000,016580,017390,084010,002320,009680,011760,000480,001500,006390,058430,004430,005500,334890,001790,102460,138490,015360,003580,007570,002150,001230,001270,001510,001630,000540,029460,034830,084680,001780,006340,000490,005010,092230,096760,100840,213500,003120,005720,009160,404990,002810,004360,092220,092790,117580,214420,339770,001130,037710,053210,004560,012030,018470,095720,271980,293480,016590,000020,078520,004380,005430,025000,109070,194370,452260,037560,039570,002390,007160,008060,008490,377190,006060,102260,298000,462520,027970,071840,001460,004980,011500,417310,000140,004090,095570,002020,107590,460850,019680,037270,053690,079430,081000,005950,008350,009580,011810,000390,001080,001520,001750,101530,234080,363280,015860,030210,044450,003200,012320,000050,002100,002900,003070,007860,090350,100250,134380,214390,317400,000520,016610,028100,036420,005680,006840,016450,092200,105840,267850,282690,450140,033920,000860,070960,083420,004970,011000,011280,000320,035510,128820,136490,003060,004310,004710,068290,094280,015230,015890,025820,004140,001360,008110,010820,011330,400760,000970,004250,210540,012610,014280,015590,031440,074610,002620,006890,007540,008040,010580,011150,002170,003650,000700,001020,002780,003830,004080,007210,008970,009270,011700,013570,014530,014580,016710,017550,020120,024090,033530,214330,248170,002210,372910,002990,003460,003720,008260,009070,010100,013580,017370,024900,033180,058850,063160,089470,111380,123690,139990,002720,350520,267290,000180,002700,004830,007110,008700,012600,012800,014160,014710,017900,019440,077500,079980,120030,163560,264900,396690,001380,003610,004150,005960,006660,010040,047400,012690,023000,023450,023800,034590,011690,002200,227840,002600,003480,004100,004720,004840,004890,006490,007280,013520,016740,032560,035000,036580,055490,078000,002450,000230,244920,004910,005740,005870,006090,009200,010960,012170,014790,016880,017040,034300,058860,067830,101140,145210,002460,338100,465770,000220,000590,000910,001560,003780,004060,004540,004960,005800,006880,007590,007980,009810,011300,011420,013360,013870,016090,021820,023810,044820,092440,378850,357250,000650,155660,002140,003010,006370,009180,014440,017180,018500,027740,031820,041650,069460,071090,075180,085310,092780,102280,111110,001620,357430,308170,000890,001260,001290,001550,002360,002630,002760,002920,003560,004410,004450,004770,004870,005750,006740,008250,008870,009190,009770,010640,010660,011230,011390,013700,014990,021050,024890,025560,025750,058730,069730,090080,100220,118000,119650,129260,000850,002220,134790,003080,004270,004440,004920,005360,006980,007610,008420,009320,012160,019180,020760,023350,025530,026940,051630,069640,091090,123700,002880,145270,446070,006570,009460,010600,010770,012200,012280,014130,023150,023960,033250,049800,072130,090370,143210,003680,000040,093240,000950,001070,001140,001420,002410,002420,002690,002820,002870,005030,005320,005820,006200,009140,009310,009440,011090,013000,015260,024070,000760,000300,133820,002070,005110,007120,008600,010400,014910,015020,019490,025620,025890,030720,044380,071950,084670,084870,088790,001210,140910,204210,010420,008500,001770"
1005,음식료품,"097950,003230,271560,004370,007310,280360,000080,005300,001680,005180,049770,003960,017810,145990,005610,003920,001790,001130,101530,033920,136490,011150,008040,248170,014710,264900,002600,036580,006090,002140,027740,004410,000890,006980,023150,003680"
1006,섬유의복,"383220,105630,093050,020000,001460,003200,016450,009270,003610,016090,005800,007980,011300,111110,102280,014990,090370,005820,093240,000950,001070,084870,002070,008500"
1007,종이목재,"002310,213500,016590,027970,009580,011280,001020,014160,012690,002200,009200,004540,009770,008250,025750,006740,446070,009460,002820"
1008,화학,"051910,090430,096770,010950,161390,051900,011790,011170,005070,009830,011780,001570,002380,002790,000880,278470,014680,192820,161890,073240,298050,298020,014820,004000,000210,457190,120110,002840,178920,285130,005420,456040,069260,008730,006650,002350,268280,093370,003240,014830,006380,161000,018250,017860,108670,002960,001340,115390,025860,007690,035150,001390,003350,272550,226320,004430,138490,005720,214420,092230,078520,025000,006060,298000,011500,008490,000390,081000,005950,002100,090350,000860,083420,282690,134380,100250,004250,003650,015890,012610,006890,003830,089470,014530,003720,163560,079980,004830,023450,004840,055490,004910,007590,003780,001550,002360,014440,010640,002760,003080,051630,024890,024070,025620"
1009,의약품,"207940,068270,000100,302440,128940,009420,006280,069620,185750,003090,001060,003850,019170,170900,003520,377740,249420,033270,003000,009290,003220,005690,016580,007570,005500,102460,001630,003120,293480,002390,000020,271980,000520,214390,234080,011000,004310,003060,001360,002210,063160,002720,004720,000220,000230,017180,002630"
1010,비금속광물,"300720,010780,344820,183190,003300,006390,000480,462520,004980,004090,001520,007210,014580,047400,010040,001560,000910,011390,005750,008870,004870,004440"
