stock_code,corp_code,corp_name
036720,00260985,한빛네트
040130,00264529,엔플렉스
055000,00358545,동서정보기술
032600,00231567,애드모바일
056140,00359614,리더컴
012400,00153551,허메스홀딩스
045880,00344746,유티엑스
037830,00261188,글로포스트
030390,00268020,쏠라엔텍
041320,00269287,보홍
078420,00475286,동북아1호선박투자회사
046350,00250775,에듀아크
013650,00114321,데코
015390,00191108,엘앤씨피
019640,00167378,희훈디앤지
058690,00225210,퓨쳐인포넷
035400,00223346,쓰리디넷
024100,00174129,제일저축은행
026540,00114826,제일창업투자
016510,00173333,현대DSF
950030,00687599,네프로아이티
036790,00256292,자강
038830,00271431,케이엠에스
020070,00154727,에버리소스
037110,00246189,제이에스
007490,00154204,태창기업
017300,00152631,에이치비이에너지
056850,00358095,코어비트
082110,00510215,동북아8호선박투자회사
045760,00347619,한국통신데이타
062730,00372013,케너텍
055250,00353735,다휘
022520,00186540,코오롱아이넷
004620,00128759,캠브리지코오롱
089240,00535588,네오세미테크
045260,00264981,디에이치패션
032380,00231521,핸디소프트
009690,00159908,케이엠에이치
035710,00259493,씨엘엘씨디
114410,00359641,현대푸드시스템
012420,00161639,메리츠종합금융
034660,00211271,제넥셀세인
065340,00388272,쓰리디월드
043680,00264796,스톰이앤에프
035010,00134909,소예
048640,00236368,엠엔에프씨
103150,00684547,하이트맥주
066690,00251385,보광티에스
040740,00262682,아인스엠앤엠
038420,00234555,씨엔씨엔터프라이즈
084810,00507257,아이알디
067850,00417963,바이나믹
086720,00543523,코크렙제7호위탁관리부동산투자회사
054170,00300566,엔빅스
054010,00299376,선팩테크
001190,00112068,마이크로닉스
033720,00257194,블루스톤디앤아이
078700,00477372,신지소프트
076850,00465410,맥쿼리센트럴오피스기업구조조정부동산투자회사
048510,00331760,테스텍
030030,00200761,중앙디자인
042870,00268297,에코페트로시스템
021060,00161301,한림창업투자
036270,00237260,헤쎄나
037510,00297970,미래에셋굿라이프혼합형자녀를위한투자회사10-1
032030,00107358,일공공일안경콘택트
043630,00267474,지앤알
013240,00134051,셀런
093820,00596066,한국베트남15-1유전해외자원개발투자회사
052310,00347363,에이치원바이오
008400,00150226,씨앤중공업
001370,00152914,FnC코오롱
017010,00158839,제너비오믹스
011050,00159281,케드콤
065410,00210537,지엔텍홀딩스
044640,00240370,동부씨엔아이
051820,00247887,아이피에스
046240,00268358,에스브이에이치
060750,00316488,제이콤
043790,00264130,옥션
088020,00540304,네이쳐글로벌
094950,00617299,GB블루오션베트남주식혼합형투자회사1호
052210,00262275,엠씨티티코어
032930,00200798,에이스앤파트너스
061050,00335924,지앤디윈텍
014010,00111591,인터피온반도체
007800,00189343,솔로몬저축은행
046320,00252588,엠트론스토리지테크놀로지
031800,00267997,에스티앤아이
060670,00299686,유퍼트
074140,00463050,엑스로드
068770,00238913,선우중공업
003020,00107446,남양
015940,00114303,엘지데이콤
045820,00318617,LG파워콤
031960,00267775,동산진흥
067950,00394574,티이씨
008320,00110176,한국기술산업
017050,00136554,스타맥스
024870,00144562,유성티에스아이
058550,00370547,네오리소스
035950,00242439,케이알
000790,00134060,씨앤상선
058900,00392600,투미비티
039990,00259855,코아정보시스템
066340,00385451,케이에스리소스
047600,00258944,세계투어
